Date,Open,High,Low,Close,Adj Close,Volume
2013-08-05,84.110001,84.790001,81.800003,84.510002,69.590675,27153600
2013-08-12,84.190002,87.430000,84.059998,85.160004,70.125946,29626900
2013-08-19,85.150002,85.500000,82.830002,83.889999,69.080139,23245700
2013-08-26,83.980003,84.779999,81.459999,82.540001,67.968475,24588200
2013-09-02,83.150002,84.220001,81.720001,83.389999,68.668404,21321300
2013-09-09,84.040001,87.220001,84.019997,87.010002,71.649338,24640100
2013-09-16,87.959999,88.250000,84.750000,84.750000,69.788315,32047100
2013-09-23,85.000000,85.550003,83.379997,83.800003,69.005997,20086700
2013-09-30,82.949997,84.349998,82.830002,84.199997,69.335411,20027900
2013-10-07,83.459999,85.849998,82.449997,85.610001,70.496483,22040500
2013-10-14,85.059998,87.760002,84.860001,87.339996,71.921066,23739000
2013-10-21,87.720001,89.169998,83.050003,84.769997,70.293663,47260300
2013-10-28,84.500000,84.730003,82.800003,83.589996,69.315170,24491800
2013-11-04,83.809998,84.430000,83.360001,84.239998,69.854179,21556400
2013-11-11,84.190002,84.470001,83.000000,83.739998,69.439545,19198500
2013-11-18,84.050003,84.970001,81.870003,82.879997,68.726410,27868700
2013-11-25,84.400002,85.180000,83.870003,84.599998,70.152695,17284300
2013-12-02,84.699997,85.580002,83.110001,85.500000,70.899017,25056900
2013-12-09,85.699997,86.870003,84.839996,86.050003,71.355080,25412400
2013-12-16,86.500000,89.110001,86.379997,88.930000,73.743240,30393200
2013-12-23,89.309998,91.669998,89.269997,90.870003,75.351959,16573600
2013-12-30,90.849998,91.180000,89.330002,89.820000,74.481255,14343900
2014-01-06,90.190002,90.599998,88.379997,90.510002,75.053436,23050000
2014-01-13,90.260002,93.199997,89.820000,91.440002,75.824623,30652000
2014-01-20,91.599998,91.849998,85.879997,86.169998,72.393631,23434400
2014-01-27,91.769997,94.690002,89.070000,93.910004,78.896233,64219800
2014-02-03,93.739998,95.239998,91.059998,94.870003,79.702744,37042700
